,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID CC_CODE_LEGACY,Legacy Description_x,CC_Code,Legacy ID_y,Legacy Description_y,RevenueCategory,Legacy ID ACTNUMBR_4,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID FULLGL,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,id_x,trip_code,parent_trip_code,reporting_office_name,revenue_fraction,travel_style,revenue_stream,id_y,billing_group_name,agent,associated_agent,online,agent_code,sub_territory,service_id
251,Canada,3,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,399.38,0.0,399.38,0.0,CAD            ,10-900,10-000-10-900-12000,6963849,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
252,Canada,3,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,399.38,0.0,399.38,0.0,CAD            ,10-900,10-000-10-900-12000,6963849,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
253,Canada,3,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,399.38,0.0,399.38,0.0,CAD            ,10-900,10-000-10-900-12000,6963849,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
254,Canada,3,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,399.38,0.0,399.38,0.0,CAD            ,10-900,10-000-10-900-12000,6963849,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,4028095.0
255,Canada,4,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,0.0,2079.0,0.0,2079.0,CAD            ,10-900,10-000-10-900-12000,6963850,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
256,Canada,4,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,0.0,2079.0,0.0,2079.0,CAD            ,10-900,10-000-10-900-12000,6963850,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
257,Canada,4,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,0.0,2079.0,0.0,2079.0,CAD            ,10-900,10-000-10-900-12000,6963850,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
258,Canada,4,1885409,1961513,2021-08-02,10,0,10,900,12000,B-01638174                     ,GAPPIM220625-O1                ,0.0,2079.0,0.0,2079.0,CAD            ,10-900,10-000-10-900-12000,6963850,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12000,Trade Accounts Receivable,Balance Sheet,Accounts Receivable,,12000,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,4028095.0
259,Canada,5,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963851,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
260,Canada,5,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963851,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
261,Canada,5,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963851,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
262,Canada,5,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963851,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,4028095.0
263,Canada,6,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963852,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
264,Canada,6,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963852,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
265,Canada,6,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963852,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
266,Canada,6,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963852,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,4028095.0
267,Canada,7,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963853,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
268,Canada,7,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963853,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
269,Canada,7,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963853,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
270,Canada,7,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,0.0,399.38,0.0,399.38,CAD            ,10-900,10-000-10-900-12001,6963853,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,4028095.0
271,Canada,8,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963854,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964137.0
272,Canada,8,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963854,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964140.0
273,Canada,8,1885409,1961513,2021-08-02,10,0,10,900,12001,B-01638174                     ,GAPPIM220625-O1                ,2079.0,0.0,2079.0,0.0,CAD            ,10-900,10-000-10-900-12001,6963854,CAD            ,GAPPIM220625-O1,0,1885409,Y,,,Y,,,,Y,,,,Legacy_1961513,10,CAD            ,Actuals,,2021-08-02,Conversion,,,,,B-01638174                     ,,,,,,,,,,,,,,,,,,,,,,,,,,10-900,Administration-Basecamp,CC_10900,,,,900.0,Basecamp,OT_Basecamp,,,10-000-10-900-12001,Contra A/R,Balance Sheet,Accounts Receivable,,12001,1638174.0,,,,,,,,1638174.0,TravelSavers Canada,7576.0,0.0,0.0,2712.0,Canada Ottawa and Northern Ontario,3964143.0
